EventId,EventTemplate,Occurrences
0,IOThunderboltSwitch<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,36
1,Thermal pressure state: <*> Memory pressure state: <*>,39
2,FA||Url||taskID[<*>] dealloc,17
3,ARPT: <*>: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],12
4,ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],16
5,mDNS_DeregisterInterface: Frequent transitions for interface <*> (<*>),5
6,"ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>",6
7,ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload,9
8,<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,16
9,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,15
10,"ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",9
11,AppleCamIn::systemWakeCall - messageType = <*>,56
12,"setting hostname to ""<*>",7
13,"<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",166
14,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,7
15,[<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.,3
16,AirPort: Link Down on awdl0. Reason <*> (Unspecified).,7
17,"PM response took <*> ms (<*>, powerd)",9
18,"ARPT: <*>: wl0: Roamed or switched channel, reason #<*>, bssid <*> last RSSI <*>",3
19,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,15
20,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(<*>)",11
21,"network_reachability_changed : network is not reachable, netbiosd is shutting down",1
22,CCFile::captureLogRun() Exiting CCFile::captureLogRun,22
23,<*> deny(<*> network-outbound <*>,58
24,ARPT: <*>: wl0: MDNS: IPV6 Addr: <*>,28
25,AirPort: Link Up on <*>,13
26,ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],12
27,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,22
28,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = <*>,11
29,"ARPT: <*>: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*>, Ack <*>, Win size <*>",10
30,en0::IO80211Interface::postMessage bssid changed,10
31,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = <*> dlla_reporting_supported = <*>,6
32,mDNS_RegisterInterface: Frequent transitions for interface <*> (<*>),4
33,AppleCamIn::wakeEventHandlerThread,20
34,ARPT: <*>: wl0: setup_keepalive: Local port: <*> Remote port: <*>,8
35,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (<*>) UASuggestedActionType=<*> (<*>)/(<*>) opts=(<*>) when=<*> +<*> confidence=<*> from=(<*>)/(<*>) (UABestAppSuggestionManager.m #<*>),14
36,en0: channel changed to <*><*>,20
37,ARPT: <*>: AQM agg results <*> len hi/lo: <*> <*> <*> <*>,7
38,CCFile::captureLog Received Capture notice id: <*> reason = AuthFail:sts:<*>rsn:<*>,15
39,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,14
40,Unrecognized attribute value: t:<*>,8
41,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",12
42,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data",2
43,<*> : BTLE scanner Powered On,8
44,button report: <*>,20
45,<*> : BTLE discovered device with hash <*> <*> <*>,1
46,"securityd_xpc_dictionary_handler cloudd[<*>] copy_matching Error Domain=NSOSStatusErrorDomain Code=<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",4
47,Location icon should now be in state 'Inactive',20
48,"ARPT: <*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>",11
49,ARPT: <*>: wl0: MDNS: IPV4 Addr: <*>,4
50,__<*>-[NETClientConnection evaluateCrazyIvan<*>]_block_invoke CI<*> - Hit by torpedo! <*> tc<*> <*>:<*>,10
51,"Setting BTCoex Config: enable_2G:<*>, profile_2g:<*>, enable_5G:<*>, profile_5G:<*>",7
52,Captive: [<*>] en0: SSID '<*> making interface primary (cache indicates network not captive),3
53,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO,6
54,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,17
55,<*> : Finished generating hashes,1
56,Captive: CNPluginHandler en0: Evaluating,4
57,tcp_connection_destination_perform_socket_connect <*> connectx to <*>:<*>@<*> failed: [<*>] Network is down,3
58,AirPort: Link Down on en0. Reason <*> (Disassociated because station leaving).,5
59,"USBMSC Identifier (non-unique): <*> <*>, <*>",12
60,CCXPCService::setStreamEventHandler Registered for notification callback.,2
61,[<*>/<*>:WARNING:dns_config_service_posix.cc(<*>)] Failed to read DnsConfig.,4
62,Saw change in network reachability (isReachable=<*>),4
63,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (0x01),8
64,en0: BSSID changed to <*>,16
65,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,44
66,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,9
67,RTC: Maintenance <*> sleep <*>,5
68,RTC: PowerByCalendarDate setting ignored,11
69,Location icon should now be in state 'Active',17
70,en0: 802.11d country code set to '<*>'.,5
71,"ARPT: <*>: wl0: setup_keepalive: Seq: <*>, Ack: <*>, Win size: <*>",8
72,<*> deny(<*> mach-lookup com.apple.networking.captivenetworksupport,9
73,[HID] [MT] AppleMultitouchDevice::willTerminate entered,3
74,[BluetoothHIDDeviceController] EventServiceDisconnectedCallback,1
75,PMStats: Hibernate read took <*> ms,1
76,dnssd_clientstub ConnectToServer: connect() failed path:<*> Socket:<*> Err:<*> Errno:<*> Operation not permitted,13
77,pages <*> wire <*> act <*> inact <*> cleaned <*> spec <*> zf <*> throt <*> compr <*> xpmapped <*>,4
78,"VDCAssistant: Found a camera (<*>) , but was not able to start it up (<*> -- (os/kern) successful)",1
79,handle_will_sleep_auth_and_shield_windows: Reordering authw <*> (lock state: <*>,1
80,"<*>-<*>-<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] Checking with local engine: <KSUpdateEngine:<*> ticketStore=<KSPersistentTicketStore:<*> store=<KSKeyedPersistentStore:<*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" lockFile=<KSLockFile:<*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock"" locked=<*> > >> processor=<KSActionProcessor:<*> delegate=<KSUpdateEngine:<*> isProcessing=<*> actionsCompleted=<*> progress=<*> errors=<*> currentActionErrors=<*> events=<*> currentActionEvents=<*> actionQueue=( ) > delegate=(<*>) serverInfoStore=<KSServerPrivateInfoStore:<*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> errors=<*> >",1
81,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <*>.,20
82,Error returned from iconservicesagent: (<*>),13
