EventId,EventTemplate,Occurrences
0,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t<*>}}}, allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>",1
1,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",26
2,ready=<*>policy=<*>wakefulness=<*>wksummary=<*>uasummary=<*>bootcompleted=<*>boostinprogress=<*>waitmodeenable=<*>mode=<*>manual=<*>auto=<*>adj=<*>userId=<*>,199
3,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 com.tencent.qt.qtl/<*> t<*>}} -- going to hide,4
4,visible is system.time.showampm,1
5,mVisiblity.getValue is false,5
6,visible is system.charge.show,1
7,visible is system.call.count gt <*>,1
8,visible is system.message.count gt <*>,1
9,visible is system.ownerinfo.show,1
10,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",26
11,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",65
12,updateDimmedActivatedHideSensitive overlap:<*>,65
13,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,81
14,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> <*>, <*>), dockedStackBounds=Rect(<*>, <*> <*> <*>)",200
15,cancelAutohide,15
16,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",19
17,Destroying surface Surface(name=SurfaceView - <*>) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:<*> com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:<*> com.android.server.wm.Session.performDeferredDestroy:<*> android.view.IWindowSession$Stub.onTransact:<*> com.android.server.wm.Session.onTransact:<*> android.os.Binder.execTransact:<*> <bottom of call stack> <bottom of call stack>,1
18,Destroying surface Surface(name=<*> called by com.android.server.wm.WindowStateAnimator.destroySurface:<*> com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:<*> com.android.server.wm.WindowState.destroyOrSaveSurface:<*> com.android.server.wm.<*>.<*>:<*> com.android.server.wm.<*>.<*>:<*> com.android.server.wm.<*>.<*>:<*> <*>android.<*>.<*>.<*>:<*> <*>android.<*>.<*>.<*>:<*>,5
19,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",69
20,"orientation change is complete, call stopFreezingDisplayLocked",1
21,Screen frozen for <*> due to Window{<*> u0 com.tencent.qt.qtl/<*>},1
22,startAnimation begin,1
23,startAnimation end,1
24,remove(<*> changed bounds; rebatching,2
25,"rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED",3
26,Application requested orientation <*> got rotation <*> which has compatible metrics,3
27,shouldBlockLocation running ...,37
28,shouldBlockLocation ret:<*>,37
29,getNeighboringCellInfo calling app is com.amap.android.ams,5
30,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",33
31,HBM brightnessIn =<*>,85
32,HBM brightnessOut =<*>,85
33,"Animating brightness: target=<*>, rate=<*>",85
34,suspendAutohide,23
35,interceptKeyTq keycode=<*> interactive=<*> keyguardActive=<*> policyFlags=<*> down <*> canceled <*>,14
36,"interceptKeyBeforeQueueing: key <*>, result : <*>",14
37,resumeSuspendedAutohide,10
38,querySoundEffectsEnabled...,17
39,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",33
40,Bad activity token: android.os.BinderProxy@<*>,1
41,java.lang.ClassCastException: android.os.BinderProxy cannot be cast to com.android.server.am.ActivityRecord$Token,1
42,"onTouchEvent::<*>, x=<*>, y=<*>",2
43,schedulePeek,1
44,getRingtonePlayer...,2
45,disable: <*>,6
46,"updateLightsLocked,mInCall =<*>,mScreenOn = <*>,ledNotification == null?<*>",6
47,"updateLightsLocked,turn off notificationLight",6
48,"overlapAmount:<*>, previousNotificationEnd:<*>, newYTranslation:<*>, location:<*>, i:<*>, getTopPadding:<*>, getLocationOnScreen():<*>",13
49,"state.clipTopAmount:<*>, i:<*>",13
50,onExpandingStarted,2
51,onTrackingStarted,1
52,Destroying surface Surface(name=<*> called by com.android.server.wm.WindowStateAnimator.destroySurface:<*> com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:<*> com.android.server.wm.WindowState.removeLocked:<*> com.android.server.wm.WindowManagerService.removeWindowInnerLocked:<*> com.android.server.wm.WindowManagerService.removeWindowInnerLocked:<*> com.android.server.wm.WindowManagerService.removeWindowLocked:<*> com.android.server.wm.WindowManagerService.removeWindowLocked:<*> com.android.server.wm.WindowManagerService.removeWindow:<*>,14
53,cancelPeek: <*>,20
54,"flingToHeight: vel=<*>, expand=<*>, target=<*>, collapseSpeedUpFactor=<*>, expandBecauseOfFalsing=<*>",2
55,onTrackingStopped: <*>,1
56,onExpandingFinished,2
57,Sending non-protected broadcast com.android.systemui.statusbar.visible.change from system <*>:com.android.systemui/u0a37 pkg com.android.systemui,2
58,logNotificationVisibilityChanges runInThread start,6
59,onNotificationVisibilityChanged called,6
60,logNotificationVisibilityChanges runInThread over,6
61,isSimPinSecure mSimDatas is null or empty,1
62,registerCallback not in UI.,3
63,android.util.AndroidRuntimeException: Must execute in UI,3
64,*** register callback for com.android.systemui.statusbar.policy.KeyguardMonitor@<*>,1
65,*** unregister callback for null,1
66,[PhoneIntfMgr] getDataEnabled: subId=<*> phoneId=<*>,1
67,[PhoneIntfMgr] getDataEnabled: subId=<*> retVal=<*>,1
68,"onInterceptTouchEvent MotionEvent { action=ACTION_DOWN, actionButton=<*>, id[<*>]=<*>, x[<*>]=<*>, y[<*>]=<*>, toolType[<*>]=TOOL_TYPE_FINGER, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }, mBlockTouches=<*>",2
69,"onInterceptTouchEvent MotionEvent { action=ACTION_UP, actionButton=<*>, id[<*>]=<*>, x[<*>]=<*>, y[<*>]=<*>, toolType[<*>]=TOOL_TYPE_FINGER, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }, mBlockTouches=<*>",2
70,playSoundEffect  effectType: <*>,10
71,"animateCollapsePanels:flags=<*>, force=<*>, delayed=<*>, mExpandedVisible=<*>",8
72,START u0 {act=com.tencent.mobileqq.action.MAINACTIVITY flg=<*> cmp=com.tencent.mobileqq/.activity.SplashActivity (has extras)} from uid <*> on display <*>,1
73,"ActivityRecord info: ActivityInfo{<*> com.<*>.<*>.<*>.<*>}, euid: <*>",4
74,onNotificationClick called,2
75,"cancelNotification,index:<*>",23
76,"cancelNotification,cancelNotificationLocked,callingUid = <*>,callingPid = <*>",2
77,"cancelNotificationLocked called,tell the app,reason = <*>",2
78,cancelNotificationLocked:<*>,4
